dataset,method,seed,C,tol,fraction,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
SUSY_80pct,LinearSVC_L1,142,0.001,1,0.8,9.353223085403442,5,,0.7849858333333334,0.838360709906061,0.6564492853967305,0.7363361104781097,0.8529378139064924
SUSY_80pct,LinearSVC_L2,142,0.001,1,0.8,35.44876527786255,21,,0.7845716666666667,0.8306824549973347,0.6644024808868223,0.7382958261204078,0.8524982683242704
SUSY_80pct,SVC_linear,142,0.001,1,0.8,Timeout >500s
SUSY_80pct,DCD_L1_perm,242,0.001,1,0.8,8.114664077758789,5,1438.4645400752229,0.784835,0.83853659672574,0.6559478267205888,0.7360883119537998,0.8528060106152692
SUSY_80pct,LinearSVC_L1,242,0.001,1,0.8,9.523574590682983,5,,0.7846716666666667,0.8395482444453793,0.6543410937443072,0.7354640032269227,0.8527231557769236
SUSY_80pct,LinearSVC_L2,242,0.001,1,0.8,35.33848237991333,21,,0.7844916666666667,0.8314042417186037,0.6634240536306336,0.7379758249997467,0.8522986663200318
SUSY_80pct,SVC_linear,242,0.001,1,0.8,Timeout >500s
SUSY_90pct,DCD_L1_perm,42,0.001,1,0.9,11.273634195327759,5,1619.4239264085793,0.7846896296296296,0.8388658525707908,0.655022060395597,0.7356316821057132,0.8530367367632163
SUSY_90pct,LinearSVC_L1,42,0.001,1,0.9,14.62430214881897,6,,0.7848266666666667,0.837886555316686,0.6565251475552157,0.7362008652724954,0.8530571637906791
SUSY_90pct,LinearSVC_L2,42,0.001,1,0.9,46.58663606643677,21,,0.7842777777777777,0.8301773722346958,0.6641636810086233,0.7379488882230195,0.8526577251257845
SUSY_90pct,SVC_linear,42,0.001,1,0.9,Timeout >500s
SUSY_90pct,DCD_L1_perm,142,0.001,1,0.9,10.588274717330933,5,1618.6962240100165,0.7847614814814815,0.8379429496725317,0.6566787792462144,0.7363192206057438,0.8528992137975813
SUSY_90pct,LinearSVC_L1,142,0.001,1,0.9,13.237472772598267,6,,0.7845540740740741,0.8398762585680338,0.6538899185031117,0.7353046637386719,0.8528270935867752
SUSY_90pct,LinearSVC_L2,142,0.001,1,0.9,47.11908960342407,21,,0.7843244444444445,0.8308944044765808,0.6638265500190187,0.7380237285024555,0.8524227357213126
SUSY_90pct,SVC_linear,142,0.001,1,0.9,Timeout >500s
SUSY_90pct,DCD_L1_perm,242,0.001,1,0.9,9.267203330993652,4,1618.9195817503203,0.7850066666666666,0.8366691147578755,0.6585728026738089,0.7370145491415219,0.8529260899084462
SUSY_90pct,LinearSVC_L1,242,0.001,1,0.9,12.413854122161865,5,,0.7846414814814815,0.8389744015267809,0.6549082983291933,0.7356016609585615,0.8528209020276017
SUSY_90pct,LinearSVC_L2,242,0.001,1,0.9,48.8379693031311,21,,0.7843874074074074,0.8305687131808691,0.6641351413497942,0.7380858329321678,0.852430410638229
SUSY_90pct,SVC_linear,242,0.001,1,0.9,Timeout >500s
SUSY_10pct,DCD_L2_perm,42,0.001,1,0.1,9.688754558563232,12,219.87676912667663,0.7857466666666667,0.835354904906739,0.663214244152217,0.7393976743808891,0.8537246942140251
SUSY_10pct,DCD_L2_perm,142,0.001,1,0.1,4.38420295715332,13,219.74662155444477,0.7856333333333333,0.8329116708832912,0.663502402406788,0.7386176119136069,0.8523959096074318
SUSY_10pct,DCD_L2_perm,242,0.001,1,0.1,4.389432668685913,13,220.03426457852873,0.7851266666666666,0.8354258940664007,0.6626406329389563,0.7390688373825117,0.8539138987639301
SUSY_20pct,DCD_L2_perm,42,0.001,1,0.2,6.497092962265015,9,438.0500530193888,0.7845133333333333,0.8316039242527948,0.6635959131061704,0.7381608152552533,0.8525559840167485
SUSY_20pct,DCD_L2_perm,142,0.001,1,0.2,9.2535080909729,13,438.32992371835644,0.78568,0.8344166826654965,0.6640064020952312,0.7395214675212083,0.8530945423161533
SUSY_20pct,DCD_L2_perm,242,0.001,1,0.2,9.643507957458496,14,438.0549868500203,0.7845666666666666,0.8333622730139002,0.6627830068684814,0.7383485555123721,0.85293389663405
