dataset,method,seed,C,tol,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
cod_rna,LinearSVC_L2,242,1.0,1,16.17178750038147,1124.0,,0.960429174103521,0.857477055965449,0.8043551654287644,0.8300670673286299,0.984814179623938
cod_rna,SVC_linear,242,1.0,1,33.89330554008484,5000.0,,0.8584496186921954,0.4559866499791405,0.9225185685347738,0.6103076665363784,0.9557920282857488
cod_rna,DCD_L2_perm,42,10.0,1,115.61941242218018,5000.0,157148.4901078558,0.9620923251663152,0.8415641328164504,0.8431273218507261,0.8423450021088148,0.9851869911480132
cod_rna,LinearSVC_L1,42,10.0,1,32.920156478881836,5000.0,,0.9611187733246797,0.8650865998176845,0.8012495778453226,0.8319452967476111,0.9850208072763608
cod_rna,LinearSVC_L2,42,10.0,1,69.3344361782074,5000.0,,0.9585834820704202,0.8830963665086888,0.7551502870651807,0.814127070817404,0.9850798556047669
cod_rna,SVC_linear,42,10.0,1,21.91063165664673,5000.0,,0.3587741359727405,0.0961870933266274,0.5167173252279635,0.1621836491321054,0.4913274022965807
cod_rna,DCD_L2_perm,142,10.0,1,115.37854266166687,5000.0,152446.55493466248,0.9591716696414084,0.866227219852656,0.7715420480055258,0.816147593387524,0.984246821550417
cod_rna,LinearSVC_L1,142,10.0,1,32.210758447647095,5000.0,,0.9617069608956677,0.8347915594441585,0.8402693835261613,0.8375215146299484,0.9845575280533032
cod_rna,LinearSVC_L2,142,10.0,1,60.685394287109375,5000.0,,0.9603480447833848,0.8096545043590572,0.8659989639095148,0.8368794326241135,0.9847185106352656
cod_rna,SVC_linear,142,10.0,1,21.773540258407593,5000.0,,0.8660757747850073,0.46375,0.8969089967190468,0.6113824966158554,0.9415859333296857
cod_rna,DCD_L2_perm,242,10.0,1,114.25588512420654,5000.0,152986.79580422767,0.9580561414895344,0.8714836223506743,0.763504388926401,0.8139283786215584,0.9844548875428084
cod_rna,LinearSVC_L1,242,10.0,1,32.923919916152954,5000.0,,0.96012493915301,0.8589046064562931,0.799459824442944,0.8281168036369995,0.9846960551338936
cod_rna,LinearSVC_L2,242,10.0,1,71.19718551635742,5000.0,,0.956048190816161,0.891762252346194,0.7218095881161377,0.7978356189943092,0.9846439233051572
cod_rna,SVC_linear,242,10.0,1,19.843966007232666,5000.0,,0.7561252636702904,0.3158434971621784,0.8830182309250506,0.4652672774170595,0.9058323928046326
cod_rna,DCD_L2_perm,42,100.0,1,117.35527038574219,5000.0,4829686.2573664095,0.8775961382443616,0.4952203705270281,0.988517392772712,0.659865862593699,0.9850777147622736
cod_rna,LinearSVC_L1,42,100.0,1,83.02327632904053,5000.0,,0.9619300665260424,0.8451954258405872,0.8362039851401554,0.840675664205076,0.9851944840967398
cod_rna,LinearSVC_L2,42,100.0,1,81.02827620506287,5000.0,,0.9551760506246958,0.8656422379826635,0.7419790611279973,0.7990543735224587,0.9834893264054736
